rural_or_urban,State Name,District Name,Block/Tehsil Name,Village Name,town_municipalty_name,ward_name,si_no_of_water_body_within_village_town,unique_id,water_body_name,basin_name,sub_basin_name,ref_water_body_type_id_name,nature_of_storage,khasra_number,water_body_loc_name,water_body_ownership_name,ref_water_body_in_use_id_name,ref_reason_water_body_in_use_id1_name,cca_water_body,ipc_water_body,scheme_status_reason_name,water_body_nature_name,manmade_water_body_type_name,construcion_year,construction_cost,renovation_year,renovation_cost,ref_water_body_under_repair_renovation_restoration_id_name,scheme_under_revival_is_done,scheme_inclusion_year,targeted_completion_year,estimated_cost,target_potential_revival,irrigation_potential_revived,water_spread_area_of_water_body,max_depth_water_body_fully_filled,storage_capacity_water_body_original,storage_capacity_water_body_present,filled_up_storage_name,filled_up_storage_space_name,no_town_cities_benefited,no_villages_benefited,no_people_benefited_by_water_body,ref_selection_id_wua_exists_name,extent_of_area_covered_by_wua,number_of_wua_formed,ref_selection_id_dip_sip_exists_name,ref_selection_id_water_body_encroached_name,ref_selection_id_encroachment_assessed_name,area_encroached_percentage,reason_water_body_in_use_name2,reason_water_body_in_use_name3
Rural,ANDHRA PRADESH,CHITTOOR,RAMASAMUDRAM,ARIKELA,,,106,1/28/554/005414/596536/106,forum pond,Cauvery Basin,Mahanadi Lower,Water consv schemes/percolation tanks/check-dams,,325/8,Others,State WRD/State Irrigation,Yes,Ground water recharge,,,,Man-made,Earthen,2016.0,50000.0,2017.0,10000.0,No,,,,,,,,,,,,,,1.0,1.0,Not Known,,,No,No,,,,
Rural,ANDHRA PRADESH,EAST GODAVARI,Katrenikona,Katrenikona,,,98,1/28/545/004943/587910/098,Fishtank,Brahmani and Baitarni Basin,Kosi,Tank,,"500-1,2,524",Others,Group of Individuals,Yes,Pisciculture,,,,Man-made,Earthen,2011.0,500000.0,2018.0,100000.0,No,,,,,,,4.372,1.0,53260.0,53000.0,Full,Filled up every year,,1.0,1.0,No,,,No,No,,,,
Rural,ANDHRA PRADESH,SRIKAKULAM,Ranastalam,Chillapetarajam,,,5,1/28/542/004805/581679/005,Vankala cheruvu,Area of North Ladakha not draining into Indus Basin,Baitarni,Tank,,59,Others,State WRD/State Irrigation,Yes,Irrigation,3.0,3.0,,Natural,,1991.0,13000.0,2014.0,35000.0,No,,,,,,,1.174,2.0,18000.0,10000.0,Upto 1/2,Rarely filled up,,1.0,20.0,No,,,No,No,,,,
Rural,ANDHRA PRADESH,ANANTHAPUR,Ramagiri,Ganthimarri,,,50,1/28/553/005348/595325/050,DUGOT POND,Cauvery Basin,,Water consv schemes/percolation tanks/check-dams,,583/2,Others,State WRD/State Irrigation,Yes,Ground water recharge,,,,Man-made,Earthen,2016.0,134350.0,2018.0,3500.0,No,,,,,,,,,,,,,,3.0,1.0,No,,,No,No,,,Other,
Rural,ANDHRA PRADESH,YSR,SAMBEPALLE,Gunnikuntla,,,52,1/28/551/005237/593504/052,Farampand,Cauvery Basin,,Water consv schemes/percolation tanks/check-dams,,516,Others,State WRD/State Irrigation,Yes,Ground water recharge,,,,Man-made,Earthen,2017.0,32000.0,,,No,,,,,,,,,,,,,,1.0,1.0,No,,,No,No,,,,
Rural,ANDHRA PRADESH,EAST GODAVARI,Allavaram,Mogallamuru,,,21,1/28/545/004940/587870/021,Rudraraju Satyanarayana Raju,Brahmani and Baitarni Basin,Kosi,Tank,,"63/1b,1c,2a,2b,2c,3,4",Others,Individual,Yes,Pisciculture,,,,Man-made,Earthen,2010.0,800000.0,2018.0,200000.0,No,,,,,,,0.887,2.0,16425.0,12264.0,Full,Filled up every year,,1.0,1.0,,,,No,No,,,,
Rural,ANDHRA PRADESH,ANANTHAPUR,Tanakal,Kokkanti,,,117,1/28/553/005360/595482/117,Faram Fand,Cauvery Basin,,Water consv schemes/percolation tanks/check-dams,,606,DPAP,Individual,No,,,,Others,Man-made,Earthen,2015.0,37000.0,,,No,,,,,,,,,,,,,,,,,,,Yes,No,,,,
Rural,ANDHRA PRADESH,WEST GODAVARI,BHIMAVARAM,Vempa,,,167,1/28/546/004984/588739/167,Penmatsa srinivasa Raju,Brahmani and Baitarni Basin,Sone,Tank,,343,Others,Individual,Yes,Pisciculture,,,,Man-made,Earthen,2016.0,100000.0,2016.0,200000.0,No,,,,,,,0.405,2.0,5000.0,5000.0,Full,Filled up every year,,1.0,1.0,,,,No,No,,,,
Rural,ANDHRA PRADESH,SRIKAKULAM,Regidi Amadalavalasa,Somarajupeta,,,6,1/28/542/004786/580859/006,ganji vani karra,Area of North Ladakha not draining into Indus Basin,,Tank,,86,Others,State WRD/State Irrigation,Yes,Irrigation,12.0,12.0,,Man-made,Earthen,1949.0,300000.0,2014.0,350000.0,No,,,,,,,3.239,3.0,88488.0,88488.0,Full,Filled up every year,,1.0,50.0,No,,,No,No,,,,
Rural,ANDHRA PRADESH,PRAKASAM,Kanigiri,Bommireddi Palle,,,18,1/28/549/005136/591262/018,Vennapusapalli utacheruvu,Drainage Area of Andaman and Nicobar Islands Basin,Shyok,Water consv schemes/percolation tanks/check-dams,,359,DPAP,State WRD/State Irrigation,Yes,Ground water recharge,,,,Man-made,Earthen,2008.0,100000.0,2008.0,100000.0,No,,,,,,,,,,,,,,1.0,20.0,No,,,No,No,,,,
Rural,ANDHRA PRADESH,ANANTHAPUR,Penukonda,Penukonda,,,151,1/28/553/005356/595435/151,Farmpond,Cauvery Basin,,Ponds,,963-2c,DPAP,Individual,Yes,Ground water recharge,,,,Man-made,Earthen,2018.0,200000.0,,,No,,,,,,,0.012,1.0,800.0,400.0,Upto 1/2,Usually filled up,,1.0,2.0,,,,No,No,,,Other,
Rural,ANDHRA PRADESH,WEST GODAVARI,ATTILI,Kommara,,,65,1/28/546/004973/588557/065,Fish Tank,Brahmani and Baitarni Basin,Sone,Tank,,423_2,Others,Individual,Yes,Pisciculture,,,,Man-made,Earthen,2011.0,220000.0,2018.0,31000.0,No,,,,,,,1.482,2.0,18300.0,18300.0,Full,Filled up every year,,1.0,4.0,,,,No,No,,,,
Rural,ANDHRA PRADESH,WEST GODAVARI,NIDAMARRU,Vipparthikhandrika,,,1,1/28/546/004968/588475/001,Gottumukkala Ramakrishna Raju and others,Brahmani and Baitarni Basin,,Tank,,1_2,Others,Individual,Yes,Pisciculture,,,,Man-made,Earthen,2015.0,500000.0,2017.0,30000.0,No,,,,,,,2.089,2.0,5000.0,4500.0,Full,Filled up every year,,1.0,1.0,,,,No,No,,,,
Rural,ANDHRA PRADESH,VIZIANAGARAM,KOMARADA,Artham,,,13,1/28/543/004807/581808/013,Eppala Joey banda,Area of North Ladakha not draining into Indus Basin,Baitarni,Tank,,319,DPAP,State WRD/State Irrigation,Yes,Irrigation,3.0,3.0,,Man-made,Earthen,1978.0,210.0,2018.0,20000.0,Yes,MGNREGA,2017.0,2018.0,120000.0,1.0,1.0,0.709,2.0,6473.0,5444.0,Upto 3/4,Usually filled up,,1.0,10.0,No,,,No,No,,,,
Rural,ANDHRA PRADESH,VISAKHAPATNAM,Cheedikada,Veerapurajupeta,,,3,1/28/544/004858/585926/003,charucheravu,Area of North Ladakha not draining into Indus Basin,Drainage Area of Lakshadweep Islands,Tank,,69,Others,Group of Individuals,Yes,Irrigation,12.0,12.0,,Natural,,,0.0,2013.0,376659.0,No,,,,,,,2.024,4.0,4000.0,250.0,Upto 3/4,Filled up every year,,2.0,20.0,Not Known,,,No,No,,,Pisciculture,Ground water recharge
Rural,ANDHRA PRADESH,ANANTHAPUR,Tanakal,Cheekatimanipalle,,,7,1/28/553/005360/595487/007,Vanka daggara form pond,Cauvery Basin,,Water consv schemes/percolation tanks/check-dams,,5,DPAP,State WRD/State Irrigation,No,,,,Others,Man-made,Earthen,2016.0,25000.0,,,No,,,,,,,,,,,,,,,,No,,,No,No,,,,
Rural,ANDHRA PRADESH,KRISHNA,Nandivada,Pedavirivada,,,136,1/28/547/005014/589286/136,Muvvala kanaka durga rao,Brahmaputra Basin,Chautang and others,Tank,,212/2,Others,Individual,Yes,Pisciculture,,,,Man-made,Earthen,2011.0,200000.0,2018.0,120000.0,No,,,,,,,1.619,2.0,28000.0,27200.0,Upto 3/4,Filled up every year,,1.0,1.0,,,,No,No,,,,
Rural,ANDHRA PRADESH,WEST GODAVARI,VEERAVASARAM,Konithiwada,,,5,1/28/546/004983/588714/005,Chikala Gopalakrishnamurthy,Brahmani and Baitarni Basin,Sone,Tank,,411/1,Others,Individual,Yes,Pisciculture,,,,Man-made,Earthen,2005.0,40000.0,2014.0,15000.0,No,,,,,,,0.13,2.0,4000.0,4000.0,Full,Filled up every year,,1.0,1.0,,,,No,No,,,,
Rural,ANDHRA PRADESH,WEST GODAVARI,PALACOLE,Digamarru,,,105,1/28/546/004988/588787/105,Chimalakodu ,Brahmani and Baitarni Basin,,Tank,,163-2,Others,Group of Individuals,Yes,Pisciculture,,,,Man-made,Earthen,2015.0,150000.0,2015.0,25000.0,No,,,,,,,0.077,2.0,300.0,300.0,Full,Filled up every year,,2.0,25000.0,No,,,No,No,,,,
Rural,ANDHRA PRADESH,SRIKAKULAM,Laveru,Budumuru,,,2,1/28/542/004804/581611/002,Rani naidu tank,Area of North Ladakha not draining into Indus Basin,Brahmani,Tank,,302,Others,State WRD/State Irrigation,Yes,Irrigation,3.0,3.0,,Man-made,Earthen,1960.0,35000.0,1960.0,2018.0,No,,,,,,,1.433,2.0,6868.0,6200.0,Upto 3/4,Rarely filled up,,1.0,20.0,Yes,2.0,1.0,No,No,,,,
Rural,ANDHRA PRADESH,EAST GODAVARI,Kunavaram,Jaggavaram,,,5,1/28/545/004731/579129/005,USHA,Brahmani and Baitarni Basin,,Tank,,02-Sep,Tribal,Individual,Yes,Ground water recharge,,,,Man-made,Earthen,2018.0,40000.0,2018.0,40000.0,Yes,yes,2018.0,2018.0,40000.0,0.0,0.0,1.619,14.0,6.0,6.0,Full,Filled up every year,,3.0,2.0,,,,Yes,No,,,,
Rural,ANDHRA PRADESH,WEST GODAVARI,MOGALTHUR,Seripalem,,,323,1/28/546/004986/588755/323,Padala venkata sri rama reddy,Brahmani and Baitarni Basin,Sone,Tank,,",208-209",Others,Individual,Yes,Pisciculture,,,,Man-made,Earthen,2015.0,95000.0,2017.0,28000.0,No,,,,,,,1.425,2.0,19000.0,19000.0,Full,Filled up every year,,1.0,2.0,,,,No,No,,,,
Rural,ANDHRA PRADESH,WEST GODAVARI,VEERAVASARAM,Veeravasaram,,,82,1/28/546/004983/588721/082,Adabala lakshmi satya vani,Brahmani and Baitarni Basin,Sone,Tank,,717/1,Others,Individual,Yes,Pisciculture,,,,Man-made,Earthen,2014.0,200000.0,2018.0,50000.0,No,,,,,,,1.619,2.0,15000.0,14000.0,Full,Filled up every year,,1.0,1.0,,,,No,No,,,,
